STATE,STATE_FULL,OVR,SDR,EDR,NO_EX_MAIL,STATEWIDE_All_MAIL,DROP_BOXES,CURE,NO_EX_EARLY_IN_PERSON,PROVISIONAL,ID
AL,ALABAMA,YES,NO,NO,NO,NO,NO,NO,NO,YES,PHOTO ID
AK,ALASKA,YES,YES,NO,YES,NO,YES,NO,YES,YES,NON-PHOTO ID
AS,AMERICAN SAMOA,NO,YES,NO,NO,NO,NO,NO,NO,YES,PHOTO ID
AZ,ARIZONA,YES,NO,NO,YES,NO,YES,YES,YES,YES,NON-PHOTO ID
AR,ARKANSAS,NO,NO,NO,NO,NO,NO,YES,YES,YES,PHOTO ID
CA,CALIFORNIA,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO ID
CO,COLORADO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NON-PHOTO ID
CT,CONNECTICUT,YES,YES,YES,NO,NO,YES,NO,NO,YES,NON-PHOTO ID
DE,DELAWARE,YES,NO,NO,NO,NO,NO,YES,YES,YES,NON-PHOTO ID
DC,DISTRICT OF COLUMBIA,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO ID
FL,FLORIDA,YES,NO,NO,YES,NO,YES,YES,YES,YES,PHOTO ID
GA,GEORGIA,YES,NO,NO,YES,NO,YES,YES,YES,YES,PHOTO ID
GU,GUAM,YES,NO,NO,NO,NO,NO,NO,YES,YES,PHOTO ID
HI,HAWAII,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO ID
ID,IDAHO,YES,YES,YES,YES,NO,YES,YES,YES,NO,PHOTO ID
IL,ILLINOIS,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO ID
IN,INDIANA,YES,NO,NO,NO,NO,YES,YES,YES,YES,PHOTO ID
IA,IOWA,YES,YES,YES,YES,NO,YES,YES,YES,YES,NON-PHOTO ID
KS,KANSAS,YES,NO,NO,YES,NO,YES,YES,YES,YES,PHOTO ID
KY,KENTUCKY,YES,NO,NO,NO,NO,YES,YES,NO,YES,NON-PHOTO ID
LA,LOUISIANA,YES,NO,NO,NO,NO,NO,YES,YES,YES,PHOTO ID
ME,MAINE,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO ID
MD,MARYLAND,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO ID
MA,MASSACHUSETTS,YES,YES,NO,YES,NO,YES,YES,YES,YES,NON-PHOTO ID
MI,MICHIGAN,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO ID
MN,MINNESOTA,YES,YES,YES,YES,NO,YES,NO,YES,NO,NO ID
MS,MISSISSIPPI,NO,NO,NO,NO,NO,NO,YES,NO,YES,PHOTO ID
MO,MISSOURI,YES,YES,NO,NO,NO,NO,NO,YES,YES,PHOTO ID
MT,MONTANA,NO,YES,YES,YES,NO,NO,YES,YES,YES,NON-PHOTO ID
NE,NEBRASKA,YES,NO,NO,YES,NO,YES,YES,YES,YES,PHOTO ID
NV,NEVADA,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO ID
NH,NEW HAMPSHIRE,NO,YES,YES,NO,NO,NO,YES,NO,NO,PHOTO ID
NJ,NEW JERSEY,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO ID
NM,NEW MEXICO,YES,YES,YES,YES,NO,YES,YES,YES,YES,NO ID
NY,NEW YORK,YES,YES,NO,YES,NO,YES,YES,YES,YES,NO ID
NC,NORTH CAROLINA,YES,YES,NO,YES,NO,NO,YES,YES,YES,PHOTO ID
ND,NORTH DAKOTA,NO,NO,NO,YES,NO,YES,YES,YES,NO,PHOTO ID
MP,NORTHERN MARIANA ISLANDS,NO,NO,NO,NO,NO,NO,NO,NO,YES,PHOTO ID
OH,OHIO,YES,NO,NO,YES,NO,YES,YES,YES,YES,PHOTO ID
OK,OKLAHOMA,YES,NO,NO,YES,NO,NO,NO,YES,YES,NON-PHOTO ID
OR,OREGON,YES,NO,NO,YES,YES,YES,YES,NO,YES,NO ID
PA,PENNSYLVANIA,YES,NO,NO,YES,NO,YES,YES,YES,YES,NO ID
PR,PUERTO RICO,YES,NO,NO,NO,NO,NO,YES,NO,YES,PHOTO ID
RI,RHODE ISLAND,YES,YES,YES,YES,NO,YES,YES,YES,YES,PHOTO ID
SC,SOUTH CAROLINA,YES,NO,NO,NO,NO,NO,NO,YES,YES,PHOTO ID
SD,SOUTH DAKOTA,NO,NO,NO,YES,NO,NO,NO,YES,YES,PHOTO ID
TN,TENNESSEE,YES,NO,NO,NO,NO,NO,YES,YES,YES,PHOTO ID
TX,TEXAS,NO,NO,NO,NO,NO,NO,YES,YES,YES,PHOTO ID
VI,U.S. VIRGIN ISLANDS,NO,NO,NO,YES,NO,NO,NO,YES,YES,NO ID
UT,UTAH,YES,YES,YES,YES,YES,YES,YES,YES,YES,PHOTO ID
VT,VERMONT,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO ID
VA,VIRGINIA,YES,YES,YES,YES,NO,YES,YES,YES,YES,NON-PHOTO ID
WA,WASHINGTON,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO ID
WV,WEST VIRGINIA,YES,NO,NO,NO,NO,NO,YES,YES,YES,NON-PHOTO ID
WI,WISCONSIN,YES,YES,YES,YES,NO,YES,YES,YES,YES,PHOTO ID
WY,WYOMING,NO,YES,YES,YES,NO,YES,NO,YES,YES,NON-PHOTO ID
