fips,election_year,state,county,state_abbr,county_name,total_mail_transmit,total_mail_return,total_mail_counted,total_mail_reject,deadline_mail_reject,voter_sign_mail_reject,witness_sign_mail_reject,nonmatch_sign_mail_reject,unofficial_env_mail_reject,EO_sign_missing_mail_reject,missing_ballot_mail_reject,unsealed_env_mail_reject,no_address_mail_reject,multi_ballot_mail_reject,deceased_mail_reject,already_voted_mail_reject,insufficient_ID_mail_reject,no_ballot_app_mail_reject,other_reason_mail_reject
1001,2018,1,1,AL,AUTAUGA COUNTY,770,732,728,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1003,2018,1,3,AL,BALDWIN COUNTY,3089,2830,2748,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1005,2018,1,5,AL,BARBOUR COUNTY,899,770,684,86,17,1,11,0,0,0,0,4,0,0,0,0,0,0,53
1007,2018,1,7,AL,BIBB COUNTY,238,196,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,2018,1,9,AL,BLOUNT COUNTY,448,427,426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1011,2018,1,11,AL,BULLOCK COUNTY,231,212,204,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,2018,1,13,AL,BUTLER COUNTY,668,605,584,21,1,2,11,0,0,0,1,0,0,0,0,0,0,0,6
1015,2018,1,15,AL,CALHOUN COUNTY,1098,1032,1003,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1017,2018,1,17,AL,CHAMBERS COUNTY,439,387,386,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1019,2018,1,19,AL,CHEROKEE COUNTY,316,308,306,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1021,2018,1,21,AL,CHILTON COUNTY,406,378,371,7,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2
1023,2018,1,23,AL,CHOCTAW COUNTY,493,420,415,5,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
1025,2018,1,25,AL,CLARKE COUNTY,1150,1010,954,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,2018,1,27,AL,CLAY COUNTY,239,224,223,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,2018,1,29,AL,CLEBURNE COUNTY,237,217,214,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,2018,1,31,AL,COFFEE COUNTY,485,426,416,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1033,2018,1,33,AL,COLBERT COUNTY,800,760,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1035,2018,1,35,AL,CONECUH COUNTY,249,237,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,2018,1,37,AL,COOSA COUNTY,128,113,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,2018,1,39,AL,COVINGTON COUNTY,419,399,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1041,2018,1,41,AL,CRENSHAW COUNTY,350,322,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,2018,1,43,AL,CULLMAN COUNTY,896,827,820,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1045,2018,1,45,AL,DALE COUNTY,450,406,403,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1047,2018,1,47,AL,DALLAS COUNTY,823,731,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049,2018,1,49,AL,DEKALB COUNTY,788,714,676,35,15,2,15,0,0,0,0,0,0,0,0,0,0,0,3
1051,2018,1,51,AL,ELMORE COUNTY,866,789,784,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1053,2018,1,53,AL,ESCAMBIA COUNTY,486,450,439,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1055,2018,1,55,AL,ETOWAH COUNTY,1111,1034,987,47,18,0,16,0,0,0,0,0,0,0,0,0,0,0,8
1057,2018,1,57,AL,FAYETTE COUNTY,531,482,437,32,5,3,17,0,0,0,0,0,3,0,0,0,0,0,4
1059,2018,1,59,AL,FRANKLIN COUNTY,379,344,337,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
