fips,election_year,state,county,state_abbr,county_name,total_part,election_day_part,absentee_uovaca_part,mail_part,in_person_early_part,vbm_part,other_part
1001,2018,1,1,AL,AUTAUGA COUNTY,19873,19081,10,728,0,0,0
1003,2018,1,3,AL,BALDWIN COUNTY,78264,75068,18,2748,0,0,0
1005,2018,1,5,AL,BARBOUR COUNTY,8455,7690,2,684,0,0,0
1007,2018,1,7,AL,BIBB COUNTY,6870,6668,2,196,0,0,0
1009,2018,1,9,AL,BLOUNT COUNTY,19562,19120,5,426,0,0,0
1011,2018,1,11,AL,BULLOCK COUNTY,3706,3500,0,204,0,0,0
1013,2018,1,13,AL,BUTLER COUNTY,8240,7636,6,584,0,0,0
1015,2018,1,15,AL,CALHOUN COUNTY,37005,35891,14,1003,0,0,0
1017,2018,1,17,AL,CHAMBERS COUNTY,11442,11032,0,386,0,0,0
1019,2018,1,19,AL,CHEROKEE COUNTY,8609,8286,5,306,0,0,0
1021,2018,1,21,AL,CHILTON COUNTY,13850,13461,5,371,0,0,0
1023,2018,1,23,AL,CHOCTAW COUNTY,6231,5796,8,415,0,0,0
1025,2018,1,25,AL,CLARKE COUNTY,11406,10398,2,954,0,0,0
1027,2018,1,27,AL,CLAY COUNTY,5442,5197,5,223,0,0,0
1029,2018,1,29,AL,CLEBURNE COUNTY,4862,4611,36,214,0,0,0
1031,2018,1,31,AL,COFFEE COUNTY,16035,15496,47,416,0,0,0
1033,2018,1,33,AL,COLBERT COUNTY,21081,20252,16,760,0,0,0
1035,2018,1,35,AL,CONECUH COUNTY,4930,4692,1,237,0,0,0
1037,2018,1,37,AL,COOSA COUNTY,4312,4195,0,113,0,0,0
1039,2018,1,39,AL,COVINGTON COUNTY,12076,11655,0,399,0,0,0
1041,2018,1,41,AL,CRENSHAW COUNTY,5462,5130,6,322,0,0,0
1043,2018,1,43,AL,CULLMAN COUNTY,28868,27961,67,820,0,0,0
1045,2018,1,45,AL,DALE COUNTY,14343,13904,29,403,0,0,0
1047,2018,1,47,AL,DALLAS COUNTY,15298,14539,14,731,0,0,0
1049,2018,1,49,AL,DEKALB COUNTY,21618,20910,16,676,0,0,0
1051,2018,1,51,AL,ELMORE COUNTY,29664,28815,44,784,0,0,0
1053,2018,1,53,AL,ESCAMBIA COUNTY,11759,11284,9,439,0,0,0
1055,2018,1,55,AL,ETOWAH COUNTY,34825,33656,27,987,0,0,0
1057,2018,1,57,AL,FAYETTE COUNTY,7544,7089,3,437,0,0,0
1059,2018,1,59,AL,FRANKLIN COUNTY,8983,8626,7,337,0,0,0
1061,2018,1,61,AL,GENEVA COUNTY,9098,8899,7,180,0,0,0
1063,2018,1,63,AL,GREENE COUNTY,4162,3883,0,279,0,0,0
1065,2018,1,65,AL,HALE COUNTY,6597,6276,0,319,0,0,0
1067,2018,1,67,AL,HENRY COUNTY,6799,6520,4,268,0,0,0
1069,2018,1,69,AL,HOUSTON COUNTY,32358,31313,9,872,0,0,0
1071,2018,1,71,AL,JACKSON COUNTY,15827,15360,15,441,0,0,0
1073,2018,1,73,AL,JEFFERSON COUNTY,258733,251656,90,6535,0,0,0
1075,2018,1,75,AL,LAMAR COUNTY,5422,5269,0,150,0,0,0
1077,2018,1,77,AL,LAUDERDALE COUNTY,31120,29787,0,1131,0,0,0
1079,2018,1,79,AL,LAWRENCE COUNTY,12111,11753,6,305,0,0,0
1081,2018,1,81,AL,LEE COUNTY,49054,47026,44,1830,0,0,0
1083,2018,1,83,AL,LIMESTONE COUNTY,33752,32325,7,1208,0,0,0
1085,2018,1,85,AL,LOWNDES COUNTY,5078,4843,5,227,0,0,0
1087,2018,1,87,AL,MACON COUNTY,7244,6971,9,242,0,0,0
1089,2018,1,89,AL,MADISON COUNTY,142047,136147,87,5230,0,0,0
1091,2018,1,91,AL,MARENGO COUNTY,8821,8422,0,391,0,0,0
1093,2018,1,93,AL,MARION COUNTY,9976,9635,2,338,0,0,0
1095,2018,1,95,AL,MARSHALL COUNTY,27421,26583,19,803,0,0,0
1097,2018,1,97,AL,MOBILE COUNTY,132353,127149,111,3791,0,0,0
1099,2018,1,99,AL,MONROE COUNTY,8974,8454,0,501,0,0,0
1101,2018,1,101,AL,MONTGOMERY COUNTY,77613,74834,66,2476,0,0,0
1103,2018,1,103,AL,MORGAN COUNTY,39636,38380,35,1060,0,0,0
1105,2018,1,105,AL,PERRY COUNTY,4356,3903,0,447,0,0,0
1107,2018,1,107,AL,PICKENS COUNTY,8318,7950,8,352,0,0,0
1109,2018,1,109,AL,PIKE COUNTY,9851,9484,1,357,0,0,0
1111,2018,1,111,AL,RANDOLPH COUNTY,7669,7358,0,298,0,0,0
1113,2018,1,113,AL,RUSSELL COUNTY,15080,14645,6,429,0,0,0
1115,2018,1,115,AL,ST. CLAIR COUNTY,30053,29139,31,879,0,0,0
1117,2018,1,117,AL,SHELBY COUNTY,84284,81526,141,2412,0,0,0
1119,2018,1,119,AL,SUMTER COUNTY,5508,5146,0,355,0,0,0
1121,2018,1,121,AL,TALLADEGA COUNTY,26321,25621,0,676,0,0,0
1123,2018,1,123,AL,TALLAPOOSA COUNTY,15822,15120,45,612,0,0,0
1125,2018,1,125,AL,TUSCALOOSA COUNTY,68990,67078,0,1820,0,0,0
1127,2018,1,127,AL,WALKER COUNTY,23199,22576,16,565,0,0,0
1129,2018,1,129,AL,WASHINGTON COUNTY,6976,6710,0,256,0,0,0
1131,2018,1,131,AL,WILCOX COUNTY,4762,4451,0,311,0,0,0
1133,2018,1,133,AL,WINSTON COUNTY,7694,7423,2,259,0,0,0
4001,2018,4,1,AZ,APACHE COUNTY,25559,13440,5,11922,0,0,0
4003,2018,4,3,AZ,COCHISE COUNTY,45927,8591,0,0,729,34913,0
4005,2018,4,5,AZ,COCONINO COUNTY,55948,15391,299,37112,1834,0,0
4007,2018,4,7,AZ,GILA COUNTY,20825,3635,71,16498,0,0,0
4009,2018,4,9,AZ,GRAHAM COUNTY,10786,3469,11,6140,1053,0,0
4011,2018,4,11,AZ,GREENLEE COUNTY,2599,609,0,1883,10,0,0
4012,2018,4,12,AZ,LA PAZ COUNTY,5164,1729,10,3356,0,0,0
4013,2018,4,13,AZ,MARICOPA COUNTY,1454103,262283,0,3168,25512,1155581,107
4015,2018,4,15,AZ,MOHAVE COUNTY,72545,21375,108,46330,3693,0,0
4017,2018,4,17,AZ,NAVAJO COUNTY,37172,15134,0,15,858,20785,0
4019,2018,4,19,AZ,PIMA COUNTY,393352,64710,1805,302871,7745,0,0
4021,2018,4,21,AZ,PINAL COUNTY,118345,25376,127,86783,0,0,0
4023,2018,4,23,AZ,SANTA CRUZ COUNTY,13668,3309,41,9393,0,0,0
4025,2018,4,25,AZ,YAVAPAI COUNTY,109551,17230,324,0,2344,89149,0
4027,2018,4,27,AZ,YUMA COUNTY,44362,8975,110,33943,639,0,0
