fips,election_year,state,county,state_abbr,county_name,total_reg,total_active_reg,total_inactive_reg,total_sdr,election_day_sdr,prior_election_day_sdr,total_reg_received,total_valid_reg,pre_reg,invalid_reg,mail_reg,in_person_reg,online_reg,dmv_reg,nvra_reg,disability_reg,armed_forces_reg,non_nvra_reg,new_mail_reg,new_in_person_reg,new_online_reg,new_dmv_reg,new_nvra_reg,new_disability_reg,new_armed_forces_reg,new_non_nvra_reg,confirmation_notices_sent,confirmation_notices_received,total_voters_removed,voters_removed_moved,voters_removed_death,voters_removed_felony,voters_removed_fail_response,voters_removed_mentally_incompetent,voters_removed_voter_request
1001,2016,1,1,AL,Autauga County,38187,37055,1132,0,,,14750,10311,0,201,193,3488,3903,3952,1790,0,6,132,77,2556,3008,2556,848,0,2,46,3778,20,3901,107,690,67,0,0,0
1003,2016,1,3,AL,Baldwin County,146824,135535,11289,0,,,79748,35732,0,490,11203,19737,17891,51997,3376,624,0,0,5808,6442,9489,9608,2047,178,0,0,4876,32,4530,1120,2789,211,0,0,0
1005,2016,1,5,AL,Barbour County,17102,16279,823,0,,,4535,2405,0,15,211,972,773,1354,837,63,0,0,150,465,511,682,371,38,0,0,1382,5,730,49,443,77,0,1,0
1007,2016,1,7,AL,Bibb County,13510,13138,372,0,,,4971,3362,0,1,240,1199,1164,1970,265,246,5,0,168,652,946,1184,137,153,3,0,200,9,1466,17,350,59,0,0,0
1009,2016,1,9,AL,Blount County,37718,37009,709,0,,,14237,8884,0,63,1646,1822,4461,5008,855,98,1,0,1334,975,2747,2912,568,43,0,0,646,5,1275,89,838,66,0,0,0
1011,2016,1,11,AL,Bullock County,7424,7232,192,0,,,1801,805,0,0,95,417,214,539,298,35,0,0,44,183,107,158,146,18,0,0,744,3,279,16,207,34,0,0,0
1013,2016,1,13,AL,Butler County,13805,13045,760,0,,,4169,2571,0,48,221,861,939,1158,643,67,2,0,161,343,621,967,305,16,0,0,563,131,604,28,416,48,0,0,0
1015,2016,1,15,AL,Calhoun County,74433,72985,1448,0,,,22905,12323,0,146,2807,3391,5965,6702,3437,195,7,0,1818,1465,4029,4675,1618,64,4,0,8168,5,2898,49,1901,218,0,0,0
1017,2016,1,17,AL,Chambers County,24020,23012,1008,0,,,7497,3917,0,80,500,2379,1370,1884,1027,97,3,0,322,964,918,999,568,35,3,0,2078,12,1063,35,587,167,0,0,0
1019,2016,1,19,AL,Cherokee County,16970,16636,334,0,,,5609,3206,0,89,379,1305,858,1955,606,94,7,0,290,697,585,964,360,54,7,0,582,1,713,49,453,109,0,0,0
1021,2016,1,21,AL,Chilton County,28579,27820,759,0,,,8330,4614,0,14,526,1838,1583,3203,882,136,0,0,382,718,1048,1050,577,87,0,0,1419,23,1237,48,763,216,0,0,0
1023,2016,1,23,AL,Choctaw County,10990,9876,1114,0,,,2121,1039,0,3,178,558,221,695,324,35,3,0,114,271,149,250,186,21,1,0,748,2,545,36,354,71,0,0,0
1025,2016,1,25,AL,Clarke County,19400,18840,560,0,,,4635,2284,0,0,365,1057,686,1259,531,128,1,0,194,384,453,450,333,72,1,0,848,12,758,53,547,34,0,0,0
1027,2016,1,27,AL,Clay County,10204,9494,710,0,,,3923,1697,0,0,218,1417,453,1010,372,104,3,0,121,495,283,381,169,63,1,0,131,18,528,54,335,52,0,0,0
1029,2016,1,29,AL,Cleburne County,10845,9981,864,0,,,3262,2200,0,0,486,900,700,1073,324,68,0,0,121,549,570,698,221,40,0,0,917,2,403,11,310,2,0,0,0
1031,2016,1,31,AL,Coffee County,33524,32020,1504,0,,,12803,7386,0,30,813,2082,2709,4985,1424,101,1,0,540,866,1769,2858,866,63,0,0,3097,18,1298,173,715,13,0,0,0
1033,2016,1,33,AL,Colbert County,38334,37420,914,0,,,18418,10624,0,26,389,3376,4442,7948,1586,246,4,0,355,1531,2957,4460,834,132,1,0,3076,15,1329,99,1028,36,0,0,0
1035,2016,1,35,AL,Conecuh County,10488,10227,261,0,,,2331,1240,0,0,28,935,178,244,489,32,2,0,16,542,126,278,193,8,2,0,522,9,516,28,291,88,0,1,0
1037,2016,1,37,AL,Coosa County,8123,7837,286,0,,,2536,1464,0,15,362,602,337,655,233,56,1,0,235,305,264,357,176,19,1,0,413,7,343,6,251,48,0,0,0
1039,2016,1,39,AL,Covington County,25347,25018,329,0,,,7595,4629,0,0,865,1163,1233,2674,1323,62,2,0,624,491,874,1533,838,42,0,0,2137,8,1019,58,684,191,0,0,0
1041,2016,1,41,AL,Crenshaw County,9958,9763,195,0,,,2907,1512,0,23,183,758,635,881,338,51,7,0,132,444,339,352,192,26,5,0,641,8,361,16,299,17,0,0,0
1043,2016,1,43,AL,Cullman County,55908,53922,1986,0,,,18165,9694,0,0,674,4317,3902,7205,1677,154,1,0,523,1988,2652,3259,925,51,1,0,3871,19,2235,114,1423,134,0,0,0
1045,2016,1,45,AL,Dale County,31420,30601,819,0,,,12334,7744,0,44,345,2922,2877,4297,1387,191,3,0,242,1609,1942,2769,829,125,2,0,3570,33,1340,137,684,340,0,0,0
