fips,election_year,state,county,uocava_total_reg,military_total,civilian_total,uocava_transmitted_total,uocava_mail_transmitted,uocava_email_transmitted,uocava_returned_total,uocava_mail_returned,uocava_email_returned,uocava_total_counted,uocava_mail_counted,uocava_email_counted,uocava_total_rejected,uocava_deadline_rejected,uocava_voter_signature_total,uocava_postmark_rejected_total,uocava_other_rejected_total,military_transmitted,military_mail_transmitted,military_email_transmitted,military_returned_total,military_mail_returned,military_email_returned,military_counted_total,military_mail_counted,military_email_counted,military_rejected_total,military_deadline_rejected,military_signature_rejected,military_postmark_rejected,military_other_rejected
1001,2022,1,1,0,0,0,14,7,7,9,5,4,9,5,4,2,2,0,0,0,10,7,3,5,5,0,5,5,0,2,2,0,0,0
1003,2022,1,3,38,19,19,38,12,26,27,9,18,27,9,18,2,2,0,0,0,19,12,7,10,9,1,9,9,1,2,2,0,0,0
1005,2022,1,5,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0,3,3,0,3,3,0,3,3,0,0,0,0,0,0
1007,2022,1,7,4,3,1,4,2,2,3,2,1,3,2,1,0,0,0,0,0,3,2,1,2,2,0,2,2,0,0,0,0,0,0
1009,2022,1,9,4,4,0,4,1,2,3,1,1,3,1,1,0,0,0,0,0,4,1,2,3,1,1,3,1,1,0,0,0,0,0
1011,2022,1,11,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1013,2022,1,13,3,2,1,3,1,2,2,0,0,2,0,0,0,0,0,0,0,3,1,2,2,0,0,2,0,0,0,0,0,0,0
1015,2022,1,15,0,0,0,13,8,5,9,7,0,9,7,0,0,0,0,0,0,13,8,5,9,7,0,9,7,0,0,0,0,0,0
1017,2022,1,17,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
1019,2022,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,2022,1,21,4,2,2,4,2,0,3,2,0,3,2,0,0,0,0,0,0,2,2,0,2,2,0,2,2,0,0,0,0,0,0
1023,2022,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1025,2022,1,25,4,3,1,4,2,2,3,2,1,3,2,1,0,0,0,0,0,2,2,0,2,2,1,2,2,1,0,0,0,0,0
1027,2022,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1029,2022,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1031,2022,1,31,18,8,10,18,10,8,18,10,8,18,10,8,0,0,0,0,0,8,6,2,8,6,2,8,6,2,0,0,0,0,0
1033,2022,1,33,4,1,3,4,0,4,4,1,3,4,1,3,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
1035,2022,1,35,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1037,2022,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1039,2022,1,39,3,2,1,3,2,1,1,0,1,1,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1041,2022,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,2022,1,43,8,7,1,8,3,5,5,4,1,5,4,1,0,0,0,0,0,7,3,4,4,4,0,4,4,0,0,0,0,0,0
1045,2022,1,45,21,11,10,21,8,12,12,3,8,12,3,8,0,0,0,0,0,11,4,2,4,1,2,4,1,2,0,0,0,0,0
1047,2022,1,47,4,4,0,4,3,1,3,3,0,3,3,0,0,0,0,0,0,4,3,1,3,3,0,3,3,0,0,0,0,0,0
1049,2022,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051,2022,1,51,13,11,2,13,3,8,5,1,3,5,1,3,0,0,0,0,0,11,3,6,4,1,2,4,1,2,0,0,0,0,0
1053,2022,1,53,0,0,0,3,0,2,3,2,2,3,0,2,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0
1055,2022,1,55,13,7,6,13,12,0,6,5,0,6,5,0,0,0,0,0,0,7,7,0,5,5,0,5,5,0,0,0,0,0,0
